City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Mar Del Plata,AR,-38.0023,-57.5575,51.13,58,100,21.0,overcast clouds
133,Berzence,HU,46.2091,17.1481,57.38,80,0,1.01,clear sky
134,Cabedelo,BR,-6.9811,-34.8339,70.47,83,1,14.92,clear sky
135,Cape Town,ZA,-33.9258,18.4232,48.11,80,1,4.88,clear sky
136,Dwarka,IN,22.2394,68.9678,83.73,82,100,19.6,overcast clouds
137,Perth,AU,-31.9333,115.8333,63.66,71,75,6.91,broken clouds
138,Ewa Beach,US,21.3156,-158.0072,87.75,57,75,24.0,broken clouds
139,Dikson,RU,73.5069,80.5464,43.9,78,100,27.36,light rain
140,Okato,NZ,-39.2,173.8833,56.43,77,21,4.7,few clouds
141,Provideniya,RU,64.3833,-173.3,54.63,73,100,7.45,overcast clouds
142,Bantacan,PH,7.604,126.1298,91.35,47,21,6.87,few clouds
143,Along,IN,28.1667,94.7667,87.06,71,19,2.3,few clouds
144,Bakel,SN,14.905,-12.4568,84.15,53,92,11.21,overcast clouds
145,Guiratinga,BR,-16.3494,-53.7583,68.77,44,0,5.23,clear sky
146,Sobolevo,RU,54.4299,31.8996,55.81,85,29,2.8,scattered clouds
147,Coihaique,CL,-45.5752,-72.0662,35.55,87,0,4.61,clear sky
148,Kibre Mengist,ET,5.8833,38.9833,58.39,91,100,2.93,light rain
149,Pisco,PE,-13.7,-76.2167,62.65,77,90,11.5,overcast clouds
150,Dingle,PH,10.9995,122.6711,84.63,76,100,19.33,overcast clouds
151,Ketchikan,US,55.3422,-131.6461,57.67,94,90,5.75,light rain
152,Fort Nelson,CA,58.8053,-122.7002,63.18,52,98,5.61,overcast clouds
153,Broome,US,42.2506,-75.833,63.01,79,0,0.16,clear sky
154,Kodiak,US,57.79,-152.4072,56.71,82,90,6.91,overcast clouds
155,Esperance,AU,-33.8667,121.9,54.81,75,93,21.07,light rain
156,Zaranj,AF,30.9667,61.8833,89.56,14,0,16.33,clear sky
157,Buchanan,LR,5.8808,-10.0467,75.97,84,100,9.24,light rain
158,Buin,CL,-33.7333,-70.75,49.05,84,77,1.97,broken clouds
159,Tagusao,PH,9.1924,117.8141,87.71,64,59,19.73,broken clouds
160,Bardiyah,LY,31.7561,25.0865,76.21,67,0,12.12,clear sky
161,Anchorage,US,61.2181,-149.9003,64.72,73,90,4.61,light rain
162,Kyzyl-Suu,KG,42.3414,78.0056,72.3,35,0,3.74,clear sky
163,Palembang,ID,-2.9167,104.7458,78.89,89,40,11.5,light rain
164,Minab,IR,27.1467,57.0801,89.1,51,17,1.52,few clouds
165,Jibuti,DJ,11.5,42.5,87.22,71,100,3.78,moderate rain
166,Soligalich,RU,59.0778,42.2864,46.13,93,44,3.69,scattered clouds
167,Yarega,RU,63.4354,53.5765,47.3,97,100,8.72,overcast clouds
168,Baranain,ES,42.8057,-1.6773,59.7,82,0,3.44,clear sky
169,Emerald,AU,-23.5333,148.1667,74.34,31,0,16.53,clear sky
170,Marawi,PH,7.9986,124.2928,83.79,50,11,7.47,few clouds
171,Jiaojiang,CN,28.6803,121.4428,75.67,95,100,21.07,light rain
172,Bengkulu,ID,-3.8004,102.2655,83.39,66,96,1.21,overcast clouds
